Population Size,Mutation Rate,Crossover Rate,Crossover Type,Mutation Type,Fitness,Average Fitness,Time
500,0.2,0.8,OX,inversion,-593.3974058481689,-608.4318382721783,5.86907696723938
1000,0.05,0.9,CX,insertion,-626.0576078471116,-630.72213465305,8.840567588806152
1000,0.1,0.9,OX,insertion,-630.2369959678426,-638.0540963540404,9.901031255722046
500,0.2,0.9,OX,swap,-643.6883273660044,-669.8941849516963,4.855458498001099
1000,0.2,0.9,CX,swap,-699.7650658641302,-724.5661862991348,11.84810996055603
500,0.05,0.9,CX,scramble,-750.5561927785401,-772.0069818331211,5.0122153759002686
1000,0.2,0.7,OX,inversion,-565.68988017463,-584.0475307185485,10.180067300796509
1000,0.05,0.9,CX,scramble,-776.7234393762892,-788.6040173443674,9.453871726989746
500,0.2,0.8,OX,swap,-630.6047124018792,-656.9966672564461,5.35399317741394
500,0.2,0.8,PMX,scramble,-693.2306647397052,-766.3680337577355,11.59304404258728
1000,0.05,0.7,OX,scramble,-709.5139259055056,-727.9663611946697,9.562437772750854
500,0.05,0.7,OX,insertion,-615.1139578404395,-620.1864591839706,4.904172897338867
100,0.2,0.8,OX,swap,-675.5762708051502,-700.6210564394274,1.183821678161621
100,0.1,0.9,OX,swap,-666.372315239681,-677.4018498067738,0.9110589027404785
500,0.1,0.7,CX,inversion,-578.7599411064018,-585.8534219043173,4.794102191925049
100,0.1,0.8,CX,inversion,-616.0839021795025,-622.9014761469418,0.8707911968231201
100,0.05,0.8,PMX,insertion,-666.7471267381824,-687.163681371652,2.2046239376068115
1000,0.2,0.8,OX,inversion,-582.0866606523615,-596.0942014200828,9.631941795349121
100,0.2,0.7,CX,swap,-619.6125899340798,-645.6828769979409,0.6073572635650635
500,0.1,0.9,OX,inversion,-586.6259092945276,-593.7434020820609,3.7310545444488525
100,0.1,0.8,OX,insertion,-695.1952665552562,-702.9704447020656,0.6613621711730957
100,0.2,0.7,PMX,insertion,-639.5224376894724,-657.0446521109715,1.7518041133880615
100,0.05,0.8,PMX,insertion,-725.8976948464809,-728.584553991306,2.2281527519226074
100,0.2,0.7,CX,insertion,-672.4916163854758,-692.4792457394614,0.862497091293335
500,0.2,0.9,PMX,scramble,-736.5408476602208,-801.9927565756286,11.834283113479614
100,0.2,0.7,CX,insertion,-662.6076003359691,-682.2847694117975,0.8880741596221924
500,0.2,0.8,PMX,inversion,-588.5839459703785,-602.2053434587085,13.408179759979248
1000,0.2,0.9,CX,scramble,-684.3050306812618,-739.5302296654423,11.721266984939575
1000,0.2,0.7,PMX,swap,-624.2999321188524,-651.9405544429598,21.566391229629517
500,0.1,0.8,OX,scramble,-712.6683735353449,-743.2258412664715,4.758686780929565
1000,0.1,0.9,PMX,inversion,-585.287491792359,-592.8060272153159,24.027063369750977
